strategy,day,query_source_s1_id,query_candidate_id,query_index,query_strategy,context_rows,context_win_rate,primary_rows,secondary_rows,distinct_context_days,top_index_counts,top_strategy_counts,min_distance,median_distance,max_distance,latency_sec
random_256,2026-06-03,2169,BEAR_CALL_NF_23400_23550_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,2073,BEAR_CALL_NF_23400_23550_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,1183,BEAR_PUT_NF_23150_23300_W150,NF,BEAR_PUT,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,964,BEAR_CALL_NF_23550_23700_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,949,BEAR_CALL_NF_23550_23700_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,934,BEAR_CALL_NF_23600_23750_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,919,BEAR_CALL_NF_23550_23700_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,904,BEAR_CALL_NF_23550_23700_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,884,BEAR_CALL_NF_23600_23750_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,869,BEAR_CALL_NF_23600_23750_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,854,BEAR_CALL_NF_23600_23750_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,839,BEAR_CALL_NF_23600_23750_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,824,BEAR_CALL_NF_23550_23700_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,804,BEAR_CALL_NF_23550_23700_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,789,BEAR_CALL_NF_23550_23700_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,779,BEAR_CALL_NF_23550_23700_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-03,764,BEAR_CALL_NF_23550_23700_W150,NF,BEAR_CALL,256,0.8359375,24,232,1,"[[""NF"", 256]]","[[""BULL_PUT"", 136], [""BEAR_CALL"", 120]]",,,,56.321590551000554
random_256,2026-06-04,2973,BEAR_PUT_NF_23150_23400_W250,NF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2962,BEAR_PUT_BNF_53200_54200_W1000,BNF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2954,BEAR_PUT_NF_23200_23400_W200,NF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2934,BEAR_PUT_NF_23150_23450_W300,NF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2925,BEAR_PUT_NF_23150_23450_W300,NF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2769,BEAR_PUT_NF_23100_23400_W300,NF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2757,BEAR_PUT_NF_23100_23400_W300,NF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2743,BEAR_PUT_BNF_53400_54200_W800,BNF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2733,BEAR_PUT_NF_23150_23450_W300,NF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2725,BEAR_PUT_NF_23150_23450_W300,NF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2721,BEAR_PUT_BNF_53400_54400_W1000,BNF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2712,BEAR_PUT_BNF_53300_54300_W1000,BNF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2444,BEAR_PUT_BNF_53100_54100_W1000,BNF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2442,BEAR_PUT_BNF_53100_54100_W1000,BNF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2441,BEAR_PUT_NF_23150_23350_W200,NF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2439,BEAR_PUT_BNF_53100_54100_W1000,BNF,BEAR_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2387,BULL_PUT_BNF_54000_53600_W400,BNF,BULL_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2382,BULL_PUT_BNF_54000_53600_W400,BNF,BULL_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2377,BULL_PUT_BNF_54000_53600_W400,BNF,BULL_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2372,BULL_PUT_BNF_54000_53600_W400,BNF,BULL_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2367,BULL_PUT_BNF_54000_53600_W400,BNF,BULL_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2362,BULL_PUT_BNF_54000_53600_W400,BNF,BULL_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2357,BULL_PUT_BNF_54000_53600_W400,BNF,BULL_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2352,BULL_PUT_BNF_54000_53600_W400,BNF,BULL_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-04,2347,BULL_PUT_BNF_54000_53600_W400,BNF,BULL_PUT,256,0.60546875,5,251,2,"[[""NF"", 249], [""BNF"", 7]]","[[""BEAR_CALL"", 128], [""BULL_PUT"", 127], [""BEAR_PUT"", 1]]",,,,12.989448119998997
random_256,2026-06-05,3428,BEAR_PUT_BNF_53900_54700_W800,BNF,BEAR_PUT,256,0.578125,8,248,3,"[[""NF"", 234], [""BNF"", 22]]","[[""BULL_PUT"", 130], [""BEAR_CALL"", 113], [""BEAR_PUT"", 13]]",,,,11.561928225000884
random_256,2026-06-05,3422,BEAR_PUT_BNF_53800_54600_W800,BNF,BEAR_PUT,256,0.578125,8,248,3,"[[""NF"", 234], [""BNF"", 22]]","[[""BULL_PUT"", 130], [""BEAR_CALL"", 113], [""BEAR_PUT"", 13]]",,,,11.561928225000884
random_256,2026-06-05,3416,BEAR_PUT_NF_23200_23450_W250,NF,BEAR_PUT,256,0.578125,8,248,3,"[[""NF"", 234], [""BNF"", 22]]","[[""BULL_PUT"", 130], [""BEAR_CALL"", 113], [""BEAR_PUT"", 13]]",,,,11.561928225000884
random_256,2026-06-05,3414,BEAR_PUT_NF_23200_23350_W150,NF,BEAR_PUT,256,0.578125,8,248,3,"[[""NF"", 234], [""BNF"", 22]]","[[""BULL_PUT"", 130], [""BEAR_CALL"", 113], [""BEAR_PUT"", 13]]",,,,11.561928225000884
