id,actual_pnl,canonical_won,friction_cost,net_pnl,net_won,friction_version
5,-3182,False,,,,
6,-1551,False,,,,
7,-1593,False,,,,
8,-577,False,,,,
9,1323,True,,,,
10,2469,True,,,,
11,3143,True,,,,
12,2105,True,,,,
13,2106,True,,,,
14,-1059,False,,,,
15,2675,True,,,,
16,-521,False,,,,
17,8805,True,,,,
22,1882,True,,,,
23,10017,True,,,,
24,2040,True,,,,
25,12272,True,,,,
26,7335,True,,,,
27,14508,True,,,,
28,-1707,False,,,,
29,11631,True,,,,
30,-2224,False,,,,
31,-1622,False,,,,
32,7491,True,,,,
33,1345,True,,,,
34,7602,True,,,,
35,11051,True,,,,
36,-110,False,,,,
37,88,True,,,,
38,0,False,,,,
39,71,True,,,,
40,7461,True,,,,
41,10156,True,,,,
42,8686,True,,,,
43,559,True,,,,
44,-1533,False,,,,
45,5574,True,,,,
46,-1683,False,,,,
47,-731,False,,,,
48,-1874,False,,,,
49,672,True,,,,
50,20683,True,,,,
51,15522,True,,,,
52,8161,True,,,,
53,384,True,,,,
54,9411,True,,,,
55,7931,True,,,,
56,7953,True,,,,
57,536,True,,,,
58,9436,True,,,,
59,4842,True,,,,
60,6374,True,,,,
61,7614,True,,,,
62,1604,True,,,,
63,533,True,,,,
64,738,True,,,,
65,6374,True,,,,
66,2235,True,,,,
67,8148,True,,,,
68,5066,True,,,,
69,9708,True,,,,
70,3091,True,,,,
71,6501,True,,,,
72,-1414,False,,,,
73,-1765,False,,,,
74,-1524,False,,,,
75,-1787,False,,,,
76,-416,False,,,,
77,556,True,,,,
78,6461,True,,,,
79,6335,True,,,,
80,9895,True,,,,
81,2087,True,,,,
82,2447,True,,,,
83,2480,True,,,,
84,2325,True,,,,
85,3885,True,,,,
86,7470,True,,,,
87,-3016,False,,,,
88,6760,True,,,,
89,10214,True,,,,
90,-1422,False,,,,
91,-2848,False,,,,
92,8785,True,,,,
93,721,True,,,,
94,10343,True,,,,
95,5526,True,,,,
96,9126,True,,,,
97,1599,True,,,,
98,1433,True,,,,
99,7787,True,,,,
100,481,True,,,,
101,3078,True,,,,
102,8154,True,,,,
103,5421,True,,,,
104,10185,True,,,,
105,0,False,,,,
106,0,False,,,,
107,0,False,,,,
108,0,False,,,,
109,0,False,,,,
110,17,True,,,,
111,31,True,,,,
112,5,True,,,,
113,2575,True,,,,
114,2994,True,,,,
115,390,True,,,,
116,2487,True,,,,
117,-88,False,,,,
118,-29,False,,,,
119,-88,False,,,,
120,-91,False,,,,
121,332,True,,,,
122,796,True,,,,
123,117,True,,,,
124,-780,False,,,,
125,-68,False,,,,
126,-202,False,,,,
127,33,True,,,,
128,20,True,,,,
129,-634,False,,,,
130,-972,False,,,,
131,-1111,False,,,,
132,-208,False,,,,
133,-211,False,,,,
134,536,True,,,,
135,1287,True,,,,
136,396,True,,,,
137,-879,False,,,,
138,-431,False,,,,
139,-1165,False,,,,
140,-423,False,,,,
141,-1328,False,,,,
142,-1354,False,,,,
143,-76,False,,,,
144,-426,False,,,,
145,164,True,,,,
146,819,True,,,,
147,-1973,False,,,,
148,-413,False,,,,
149,-585,False,,,,
150,-413,False,,,,
151,-1250,False,,,,
152,-359,False,,,,
153,-233,False,,,,
154,-238,False,,,,
155,-234,False,,,,
156,56,True,,,,
157,49,True,,,,
158,-116,False,,,,
159,215,True,,,,
160,-142,False,,,,
161,486,True,,,,
162,-151,False,,,,
163,-62,False,,,,
164,-259,False,,,,
165,115,True,,,,
166,-155,False,,,,
167,-504,False,,,,
168,-317,False,,,,
169,-165,False,,,,
170,883,True,,,,
171,836,True,,,,
172,-688,False,,,,
173,-1359,False,,,,
174,-147,False,,,,
175,-151,False,,,,
