session_date,index_key,strategy_type,width,n,avg_r,positive_r_pct,avg_pnl,success_pct,surfaced_n
2026-08-06,BNF,BEAR_CALL,400.0,24,-0.07712,0.0,-344.2,0.0,24
2026-08-06,BNF,BEAR_CALL,500.0,24,-0.06615,0.0,-376.62,0.0,24
2026-08-06,BNF,BEAR_CALL,600.0,24,-0.03588,0.0,-248.88,0.0,24
2026-08-06,BNF,BEAR_CALL,800.0,24,-0.05165,0.0,-496.14,0.0,24
2026-08-06,BNF,BEAR_CALL,1000.0,24,-0.04166,0.0,-516.04,0.0,24
2026-08-06,BNF,BULL_PUT,400.0,13,-0.02788,0.0,-145.73,0.0,13
2026-08-06,BNF,BULL_PUT,500.0,13,-0.01831,0.0,-120.9,0.0,13
2026-08-06,BNF,BULL_PUT,600.0,13,-0.00682,23.08,-55.41,0.0,13
2026-08-06,BNF,BULL_PUT,800.0,13,-0.0014,23.08,-15.88,0.0,3
2026-08-06,BNF,BULL_PUT,1000.0,13,0.00679,100.0,93.84,0.0,3
2026-08-06,NF,BEAR_CALL,150.0,6,0.04992,100.0,210.63,0.0,3
2026-08-06,NF,BEAR_CALL,200.0,6,0.04907,100.0,284.78,0.0,0
2026-08-06,NF,BEAR_CALL,250.0,6,0.04673,100.0,349.08,0.0,0
2026-08-06,NF,BEAR_CALL,300.0,6,0.04512,100.0,415.44,0.0,0
2026-08-06,NF,BEAR_CALL,400.0,6,0.0401,100.0,513.84,0.0,0
2026-08-06,NF,BULL_PUT,150.0,8,0.01954,100.0,87.98,0.0,3
2026-08-06,NF,BULL_PUT,200.0,8,0.02225,100.0,139.55,0.0,0
2026-08-06,NF,BULL_PUT,250.0,8,0.0295,100.0,235.31,0.0,0
2026-08-06,NF,BULL_PUT,300.0,8,0.03219,100.0,312.73,0.0,0
2026-08-06,NF,BULL_PUT,400.0,5,0.03134,100.0,426.24,0.0,0
2026-08-06,NF,IRON_CONDOR,100.0,3,-0.0115,0.0,-28.0,0.0,3
2026-08-06,NF,IRON_CONDOR,150.0,6,0.0643,100.0,223.92,0.0,6
2026-08-06,NF,IRON_CONDOR,200.0,6,0.07612,100.0,378.93,0.0,6
2026-08-06,NF,IRON_CONDOR,250.0,3,0.0564,100.0,395.09,0.0,3
2026-08-07,BNF,BEAR_CALL,400.0,65,-0.04792,26.15,-198.11,0.0,65
2026-08-07,BNF,BEAR_CALL,500.0,65,-0.03117,18.46,-168.99,0.0,65
2026-08-07,BNF,BEAR_CALL,600.0,65,-0.02882,18.46,-191.59,0.0,65
2026-08-07,BNF,BEAR_CALL,800.0,65,-0.01652,20.0,-147.38,0.0,54
2026-08-07,BNF,BEAR_CALL,1000.0,65,-0.01608,18.46,-188.44,0.0,36
2026-08-07,BNF,BULL_PUT,400.0,36,-0.01554,11.11,-81.36,0.0,36
2026-08-07,BNF,BULL_PUT,500.0,36,-0.00376,33.33,-26.23,0.0,26
2026-08-07,BNF,BULL_PUT,600.0,36,-0.01708,33.33,-141.59,0.0,24
2026-08-07,BNF,BULL_PUT,800.0,34,-0.00794,17.65,-89.73,0.0,1
2026-08-07,BNF,BULL_PUT,1000.0,30,-0.01098,13.33,-157.75,0.0,1
2026-08-07,NF,BEAR_CALL,150.0,64,0.06254,70.31,273.54,0.0,37
2026-08-07,NF,BEAR_CALL,200.0,64,0.0692,89.06,415.3,0.0,11
2026-08-07,NF,BEAR_CALL,250.0,64,0.06933,89.06,534.01,0.0,0
2026-08-07,NF,BEAR_CALL,300.0,58,0.07466,98.28,706.73,0.0,0
2026-08-07,NF,BEAR_CALL,400.0,51,0.0759,100.0,994.8,3.92,0
2026-08-07,NF,BULL_PUT,150.0,75,0.05022,80.0,231.86,0.0,27
2026-08-07,NF,BULL_PUT,200.0,75,0.05798,96.0,364.83,0.0,0
2026-08-07,NF,BULL_PUT,250.0,69,0.06268,100.0,502.98,0.0,0
2026-08-07,NF,BULL_PUT,300.0,57,0.06985,100.0,686.1,0.0,0
2026-08-07,NF,BULL_PUT,400.0,4,0.0496,100.0,694.66,0.0,0
2026-08-07,NF,IRON_CONDOR,100.0,38,0.10401,100.0,248.56,0.0,38
2026-08-07,NF,IRON_CONDOR,150.0,38,0.13145,100.0,501.34,0.0,38
2026-08-07,NF,IRON_CONDOR,200.0,38,0.13414,100.0,717.61,0.0,38
2026-08-07,NF,IRON_CONDOR,250.0,19,0.11939,100.0,877.28,0.0,17
