trade_id,entry_date,entry_day,strategy,index,lots,entry_prem,exit_prem,actual_pnl,lot_size_used,recon_sign,expected_pnl,implied_multiplier,recon_error,pnl_reconciles,pnl_engine,pnl_engine_reason,structure_incomplete,canonical_won,followed_app
5,2026-03-27T03:52:54.195+00:00,2026-03-27,BULL_PUT,NF,1.0,76.65,,-3182.0,65.0,1.0,,,,,UNKNOWN,MISSING_ENTRY_OR_EXIT_PREMIUM,False,False,
6,2026-03-27T03:53:04.889+00:00,2026-03-27,BULL_PUT,BNF,1.0,82.15,,-1551.0,30.0,1.0,,,,,UNKNOWN,MISSING_ENTRY_OR_EXIT_PREMIUM,False,False,
7,2026-03-27T05:33:53.134+00:00,2026-03-27,BULL_PUT,NF,1.0,76.3,,-1593.0,65.0,1.0,,,,,UNKNOWN,MISSING_ENTRY_OR_EXIT_PREMIUM,False,False,
8,2026-03-27T05:34:01.843+00:00,2026-03-27,BULL_PUT,BNF,1.0,81.25,,-577.0,30.0,1.0,,,,,UNKNOWN,MISSING_ENTRY_OR_EXIT_PREMIUM,False,False,
9,2026-03-30T03:57:58.507+00:00,2026-03-30,BEAR_CALL,NF,1.0,68.3,47.95,1323.0,65.0,1.0,1322.7499999999995,65.01228501228503,0.25000000000045475,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
10,2026-03-30T03:58:08.023+00:00,2026-03-30,BEAR_CALL,BNF,1.0,89.0,6.7,2469.0,30.0,1.0,2469.0,30.0,0.0,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
11,2026-03-30T05:33:39.998+00:00,2026-03-30,BEAR_CALL,NF,1.0,62.55,14.2,3143.0,65.0,1.0,3142.7499999999995,65.00517063081696,0.25000000000045475,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
12,2026-03-30T05:33:45.574+00:00,2026-03-30,BEAR_CALL,BNF,1.0,82.05,11.9,2105.0,30.0,1.0,2104.4999999999995,30.007127583749114,0.5000000000004547,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
13,2026-03-30T06:35:36.891+00:00,2026-03-30,IRON_CONDOR,NF,1.0,33.9,1.5,2106.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
14,2026-04-01T03:49:06.401+00:00,2026-04-01,BULL_PUT,NF,1.0,75.2,91.5,-1059.0,65.0,1.0,-1059.4999999999998,64.96932515337424,0.4999999999997726,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
15,2026-04-01T03:49:22.094+00:00,2026-04-01,IRON_CONDOR,NF,1.0,94.85,53.7,2675.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
16,2026-04-01T03:49:29.007+00:00,2026-04-01,BULL_PUT,BNF,1.0,70.85,88.2,-521.0,30.0,1.0,-520.5000000000002,30.02881844380402,-0.4999999999997726,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
17,2026-04-01T03:49:46.452+00:00,2026-04-01,IRON_BUTTERFLY,BNF,1.0,720.9,427.4,8805.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
22,2026-04-01T05:34:42.712+00:00,2026-04-01,IRON_CONDOR,NF,1.0,52.0,23.05,1882.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
23,2026-04-01T05:34:56.337+00:00,2026-04-01,IRON_BUTTERFLY,BNF,1.0,887.75,553.85,10017.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
24,2026-04-01T09:52:11.31+00:00,2026-04-01,BEAR_CALL,BNF,1.0,268.5,200.5,2040.0,30.0,1.0,2040.0,30.0,0.0,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
25,2026-04-01T09:52:20.37+00:00,2026-04-01,IRON_BUTTERFLY,NF,1.0,250.45,61.65,12272.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
26,2026-04-01T09:52:31.16+00:00,2026-04-01,IRON_CONDOR,NF,1.0,137.25,24.4,7335.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
27,2026-04-01T09:53:19.987+00:00,2026-04-01,IRON_BUTTERFLY,BNF,1.0,884.4,400.8,14508.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
28,2026-04-02T04:05:24.951+00:00,2026-04-02,BEAR_CALL,BNF,1.0,263.2,320.1,-1707.0,30.0,1.0,-1707.000000000001,29.999999999999982,9.094947017729282e-13,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
29,2026-04-02T04:05:36.591+00:00,2026-04-02,IRON_BUTTERFLY,BNF,1.0,904.45,516.75,11631.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
30,2026-04-02T05:31:13.803+00:00,2026-04-02,BEAR_CALL,BNF,1.0,258.55,332.7,-2224.0,30.0,1.0,-2224.499999999999,29.99325691166555,0.4999999999990905,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
31,2026-04-02T05:31:59.59+00:00,2026-04-02,BEAR_CALL,NF,1.0,89.4,114.35,-1622.0,65.0,1.0,-1621.7499999999993,65.01002004008019,-0.2500000000006821,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
32,2026-04-02T05:32:19.781+00:00,2026-04-02,IRON_BUTTERFLY,NF,1.0,250.0,134.75,7491.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
33,2026-04-02T09:10:14.149+00:00,2026-04-02,IRON_CONDOR,NF,1.0,41.05,20.35,1345.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
34,2026-04-02T09:10:34.459+00:00,2026-04-02,IRON_BUTTERFLY,NF,1.0,247.55,130.6,7602.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
35,2026-04-02T09:10:51.963+00:00,2026-04-02,IRON_BUTTERFLY,BNF,1.0,898.35,530.0,11051.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
36,2026-04-02T09:10:58.716+00:00,2026-04-02,BEAR_CALL,BNF,1.0,85.35,89.0,-110.0,30.0,1.0,-109.50000000000017,30.136986301369816,-0.49999999999982947,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
37,2026-04-06T06:28:19.32+00:00,2026-04-06,IRON_CONDOR,NF,1.0,30.05,28.7,88.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
38,2026-04-06T06:28:35.737+00:00,2026-04-06,IRON_CONDOR,NF,1.0,30.05,,0.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,False,
39,2026-04-06T06:30:36.533+00:00,2026-04-06,IRON_CONDOR,NF,1.0,34.55,33.45,71.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
40,2026-04-06T08:15:21.433+00:00,2026-04-06,IRON_CONDOR,BNF,1.0,698.55,449.85,7461.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
41,2026-04-06T08:15:35.781+00:00,2026-04-06,IRON_BUTTERFLY,BNF,1.0,890.55,552.0,10156.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
42,2026-04-07T06:00:00.442+00:00,2026-04-07,IRON_CONDOR,BNF,1.0,690.8,401.25,8686.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
43,2026-04-07T06:00:06.89+00:00,2026-04-07,IRON_CONDOR,NF,1.0,12.7,4.1,559.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
44,2026-04-07T06:00:30.111+00:00,2026-04-07,BEAR_CALL,BNF,1.0,470.7,521.8,-1533.0,30.0,1.0,-1532.999999999999,30.00000000000002,-9.094947017729282e-13,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
45,2026-04-07T06:01:11.685+00:00,2026-04-07,IRON_BUTTERFLY,NF,1.0,140.95,55.2,5574.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
46,2026-04-07T07:14:16.29+00:00,2026-04-07,BEAR_CALL,BNF,1.0,465.7,521.8,-1683.0,30.0,1.0,-1682.999999999999,30.000000000000018,-9.094947017729282e-13,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
47,2026-04-07T07:14:35.111+00:00,2026-04-07,IRON_CONDOR,NF,1.0,35.9,47.15,-731.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,False,
48,2026-04-07T09:48:02.227+00:00,2026-04-07,IRON_CONDOR,BNF,1.0,479.75,542.2,-1874.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,False,
49,2026-04-07T09:48:11.223+00:00,2026-04-07,BULL_CALL,BNF,1.0,114.1,136.5,672.0,30.0,-1.0,672.0000000000002,-29.999999999999993,-2.2737367544323206e-13,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
50,2026-04-07T09:48:50.123+00:00,2026-04-07,BULL_CALL,NF,1.0,20.8,339.0,20683.0,65.0,-1.0,20683.0,-65.0,0.0,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
